Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho€,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total
1985,Radio,LL Cool J,That's A Lie,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
1985,Radio,LL Cool J,I Want You,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1985,Radio,LL Cool J,I Can't Live Without My Radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Radio,LL Cool J,You Can't Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Radio,LL Cool J,Dear Yvette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Radio,LL Cool J,I Can Give You More,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Radio,LL Cool J,Dangerous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Radio,LL Cool J,Rock The Bells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Radio,LL Cool J,I Need A Beat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Radio,LL Cool J,You'll Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,Rock the houst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,King of Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,You talk too much,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,Jam Master's Jammnin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,"Roots, Rap, Reggae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,Can You rock it like this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,You're Blind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,It's not funny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,King of Rock,Run DMC,Darryl and Joe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,"Raw, Uncut & X-Rated",Too $hort,The bitch sucks dick,8,2,34,0,0,6,0,28,1,0,0,0,0,0,79
1985,"Raw, Uncut & X-Rated",Too $hort,Invasion Of the Flat Booty Bitch,6,2,51,1,0,0,4,1,0,0,0,0,1,0,66
1985,"Raw, Uncut & X-Rated",Too $hort,"Oakland, Califronia ",9,3,20,1,0,0,20,6,0,1,0,0,0,0,60
1985,"Raw, Uncut & X-Rated",Too $hort,Blowjob Betty,7,0,13,0,0,0,3,4,0,0,0,0,0,0,27
1985,"Raw, Uncut & X-Rated",Too $hort,She's A Bitch,1,1,10,0,1,0,4,0,0,0,0,0,0,0,17
1985,Don't Stop Rapping,Too $hort,Playboy Short,3,4,4,0,2,0,1,0,0,0,0,0,0,2,16
1985,Don't Stop Rapping,Too $hort,Female Funk,0,1,1,0,2,0,0,1,0,0,0,0,0,0,5
1985,Don't Stop Rapping,Too $hort,Don't Stop Rapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Don't Stop Rapping,Too $hort,Shortrapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Don't Stop Rapping,Too $hort,Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,World Class,World Class Wreckin Cru,Gang Bang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,World Class,World Class Wreckin Cru,World Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Is What We Are,2 Live Crew,We want some pussy,0,1,0,12,1,0,4,0,0,0,0,0,0,0,18
1986,Is What We Are,2 Live Crew,Get it girl ,0,1,0,2,0,0,2,0,0,0,0,0,0,1,6
1986,Is What We Are,2 Live Crew,Check it out yall,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
1986,Is What We Are,2 Live Crew,Throw the D,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
1986,Is What We Are,2 Live Crew,2 live is what we are ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Is What We Are,2 Live Crew,Beat Box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Planet Rock,Afrika Bambaataa,Planet Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Planet Rock,Afrika Bambaataa,Looking for the perfect beat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Planet Rock,Afrika Bambaataa,Renegades of funk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Planet Rock,Afrika Bambaataa,Frantic Situation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,The new Style,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1986,Licensed to Ill,Beastie Boys,time to get ill ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1986,Licensed to Ill,Beastie Boys,Rhymin & Stealin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,She's Crafty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,Posse In Effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,Slow Ride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,Fight for your right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,no sleep till brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,paul revere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,hold it now,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,brass monkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Licensed to Ill,Beastie Boys,slow and low ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Proud to Be Black,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1986,Raising Hell,Run DMC,Peter Piper,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
1986,Raising Hell,Run DMC,Hit It Run,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1986,Raising Hell,Run DMC,It's Tricky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,My Adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Walk This Way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Is It Live,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Perfection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Raising Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,You Be Illin',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Dumb Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Son of Byford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Born To Mack,Too $hort,dope fiend beat,6,3,35,0,4,2,5,0,0,1,0,0,0,1,57
1986,Born To Mack,Too $hort,Playboy Short 2,6,2,10,1,6,0,2,0,0,0,0,0,0,2,29
1986,Born To Mack,Too $hort,freaky tales,0,3,2,2,2,0,2,0,0,0,0,0,0,2,13
1986,Born To Mack,Too $hort,Little girls,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
1986,Born To Mack,Too $hort,You know what I mean,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1986,Born To Mack,Too $hort,Partytime,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1986,Born To Mack,Too $hort,mack attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,The Broidge IS over,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3
1987,Criminal Minded,Boogie Down,Super Hoe Lyrics,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
