,Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total,City,State
0,1985,Radio,LL Cool J,That's A Lie,0,0.0,2,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,Bay Shore,New York
1,1985,Radio,LL Cool J,I Want You,0,0.0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,Bay Shore,New York
2,1985,Radio,LL Cool J,I Can't Live Without My Radio,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
3,1985,Radio,LL Cool J,You Can't Dance,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
4,1985,Radio,LL Cool J,Dear Yvette,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
5,1985,Radio,LL Cool J,I Can Give You More,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
6,1985,Radio,LL Cool J,Dangerous,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
7,1985,Radio,LL Cool J,Rock The Bells,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
8,1985,Radio,LL Cool J,I Need A Beat,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
9,1985,Radio,LL Cool J,You'll Rock,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
10,1985,King of Rock,Run DMC,Rock the houst,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
11,1985,King of Rock,Run DMC,King of Rock,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
12,1985,King of Rock,Run DMC,You talk too much,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
13,1985,King of Rock,Run DMC,Jam Master's Jammnin,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
14,1985,King of Rock,Run DMC,"Roots, Rap, Reggae",0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
15,1985,King of Rock,Run DMC,Can You rock it like this,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
16,1985,King of Rock,Run DMC,You're Blind,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
17,1985,King of Rock,Run DMC,It's not funny,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
18,1985,King of Rock,Run DMC,Darryl and Joe,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
19,1985,"Raw, Uncut & X-Rated",Too $hort,The bitch sucks dick,8,2.0,34,0.0,0.0,6,0,28.0,1,0,0,0,0,0.0,79,Los Angeles,California
20,1985,"Raw, Uncut & X-Rated",Too $hort,Invasion Of the Flat Booty Bitch,6,2.0,51,1.0,0.0,0,4,1.0,0,0,0,0,1,0.0,66,Los Angeles,California
21,1985,"Raw, Uncut & X-Rated",Too $hort,"Oakland, Califronia ",9,3.0,20,1.0,0.0,0,20,6.0,0,1,0,0,0,0.0,60,Los Angeles,California
22,1985,"Raw, Uncut & X-Rated",Too $hort,Blowjob Betty,7,0.0,13,0.0,0.0,0,3,4.0,0,0,0,0,0,0.0,27,Los Angeles,California
23,1985,"Raw, Uncut & X-Rated",Too $hort,She's A Bitch,1,1.0,10,0.0,1.0,0,4,0.0,0,0,0,0,0,0.0,17,Los Angeles,California
24,1985,Don't Stop Rapping,Too $hort,Playboy Short,3,4.0,4,0.0,2.0,0,1,0.0,0,0,0,0,0,2.0,16,Los Angeles,California
25,1985,Don't Stop Rapping,Too $hort,Female Funk,0,1.0,1,0.0,2.0,0,0,1.0,0,0,0,0,0,0.0,5,Los Angeles,California
26,1985,Don't Stop Rapping,Too $hort,Don't Stop Rapping,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
27,1985,Don't Stop Rapping,Too $hort,Shortrapp,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
28,1985,Don't Stop Rapping,Too $hort,Girl,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
29,1985,World Class,World Class Wreckin Cru,Gang Bang,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Compton,California
